Source_Airport,Destination_Airport,Route_Type,Latitude_Source,Longitude_Source,Country_Source,Latitude_Dest,Longitude_Dest,Country_Dest,Distance_km,Est_Duration_hr,Source_in_India,Dest_in_India,Source_Flight_Frequency,Destination_Flight_Frequency,Region_Pair
PYG,AYJ,Domestic,27.2313,88.587196,IN,26.751283,82.155295,IN,639.4517658132975,1.07,True,True,175,16,IN → IN
PYG,SDW,Domestic,27.2313,88.587196,IN,16.002552,73.529846,IN,1992.093007673812,3.32,True,True,175,17,IN → IN
PYG,NMI,Domestic,27.2313,88.587196,IN,18.984597,73.065253,IN,1830.8038354749283,3.05,True,True,175,18,IN → IN
PYG,RQY,Domestic,27.2313,88.587196,IN,13.858024,75.618868,IN,2005.450340482758,3.34,True,True,175,19,IN → IN
PYG,HGI,Domestic,27.2313,88.587196,IN,26.96683,93.638792,IN,500.8768783114342,0.83,True,True,175,20,IN → IN
PYG,UKE,Domestic,27.2313,88.587196,IN,20.097778,83.183333,IN,965.1017058289718,1.61,True,True,175,21,IN → IN
PYG,AHA,Domestic,27.2313,88.587196,IN,22.98753,83.19612,IN,719.0666901569474,1.2,True,True,175,22,IN → IN
PYG,JGB,Domestic,27.2313,88.587196,IN,19.074301,82.036797,IN,1126.9153469650128,1.88,True,True,175,23,IN → IN
PYG,RJI,Domestic,27.2313,88.587196,IN,33.377899,74.315201,IN,1529.12796321046,2.55,True,True,175,24,IN → IN
PYG,REW,Domestic,27.2313,88.587196,IN,24.503401,81.220299,IN,796.8611037417037,1.33,True,True,175,25,IN → IN
PYG,DIU,Domestic,27.2313,88.587196,IN,20.714185,70.921855,IN,1933.0947546463144,3.22,True,True,175,26,IN → IN
PYG,GDB,Domestic,27.2313,88.587196,IN,21.526817,80.290347,IN,1052.2877223959897,1.75,True,True,175,27,IN → IN
PYG,AMD,Domestic,27.2313,88.587196,IN,23.0772,72.634697,IN,1669.2719094151994,2.78,True,True,175,28,IN → IN
PYG,AKD,Domestic,27.2313,88.587196,IN,20.698931,77.056883,IN,1377.3458826337487,2.3,True,True,175,29,IN → IN
PYG,IXU,Domestic,27.2313,88.587196,IN,19.862699508666992,75.39810180664062,IN,1572.7899604338124,2.62,True,True,175,30,IN → IN
PYG,BOM,Domestic,27.2313,88.587196,IN,19.0886993408,72.8678970337,IN,1842.0354223378797,3.07,True,True,175,31,IN → IN
PYG,BHJ,Domestic,27.2313,88.587196,IN,23.2877998352,69.6701965332,IN,1950.073259461005,3.25,True,True,175,32,IN → IN
PYG,IXG,Domestic,27.2313,88.587196,IN,15.8593,74.618301,IN,1916.96855915016,3.19,True,True,175,33,IN → IN
PYG,BDQ,Domestic,27.2313,88.587196,IN,22.336201,73.226303,IN,1641.9824905283572,2.74,True,True,175,34,IN → IN
PYG,BHO,Domestic,27.2313,88.587196,IN,23.2875003815,77.3374023438,IN,1212.67662402608,2.02,True,True,175,35,IN → IN
PYG,BHU,Domestic,27.2313,88.587196,IN,21.752199173,72.1852035522,IN,1766.1154073052348,2.94,True,True,175,36,IN → IN
PYG,NMB,Domestic,27.2313,88.587196,IN,20.434401,72.843201,IN,1768.661993136252,2.95,True,True,175,37,IN → IN
PYG,GUX,Domestic,27.2313,88.587196,IN,24.654699,77.347298,IN,1159.3266120452352,1.93,True,True,175,38,IN → IN
PYG,HBX,Domestic,27.2313,88.587196,IN,15.3617,75.0849,IN,1920.253611071612,3.2,True,True,175,39,IN → IN
PYG,HSR,Domestic,27.2313,88.587196,IN,22.378824,71.039391,IN,1849.562566007947,3.08,True,True,175,40,IN → IN
PYG,IDR,Domestic,27.2313,88.587196,IN,22.7217998505,75.8011016846,IN,1381.9401789586243,2.3,True,True,175,41,IN → IN
PYG,JLR,Domestic,27.2313,88.587196,IN,23.177799,80.052002,IN,969.424224009886,1.62,True,True,175,42,IN → IN
